dataset,Paths_to_Internet,description,universe,usProp,usPropSE,usCount,usCountSE,age314Prop,age314PropSE,age314Count,age314CountSE,age1524Prop,age1524PropSE,age1524Count,age1524CountSE,age2544Prop,age2544PropSE,age2544Count,age2544CountSE,age4564Prop,age4564PropSE,age4564Count,age4564CountSE,age65pProp,age65pPropSE,age65pCount,age65pCountSE,workEmployedProp,workEmployedPropSE,workEmployedCount,workEmployedCountSE,workUnemployedProp,workUnemployedPropSE,workUnemployedCount,workUnemployedCountSE,workNILFProp,workNILFPropSE,workNILFCount,workNILFCountSE,incomeU25Prop,incomeU25PropSE,incomeU25Count,incomeU25CountSE,income2549Prop,income2549PropSE,income2549Count,income2549CountSE,income5074Prop,income5074PropSE,income5074Count,income5074CountSE,income7599Prop,income7599PropSE,income7599Count,income7599CountSE,income100pProp,income100pPropSE,income100pCount,income100pCountSE,edNoDiplomaProp,edNoDiplomaPropSE,edNoDiplomaCount,edNoDiplomaCountSE,edHSGradProp,edHSGradPropSE,edHSGradCount,edHSGradCountSE,edSomeCollegeProp,edSomeCollegePropSE,edSomeCollegeCount,edSomeCollegeCountSE,edCollegeGradProp,edCollegeGradPropSE,edCollegeGradCount,edCollegeGradCountSE,sexMaleProp,sexMalePropSE,sexMaleCount,sexMaleCountSE,sexFemaleProp,sexFemalePropSE,sexFemaleCount,sexFemaleCountSE,raceWhiteProp,raceWhitePropSE,raceWhiteCount,raceWhiteCountSE,raceBlackProp,raceBlackPropSE,raceBlackCount,raceBlackCountSE,raceHispanicProp,raceHispanicPropSE,raceHispanicCount,raceHispanicCountSE,raceAsianProp,raceAsianPropSE,raceAsianCount,raceAsianCountSE,raceAmIndianProp,raceAmIndianPropSE,raceAmIndianCount,raceAmIndianCountSE,raceOtherProp,raceOtherPropSE,raceOtherCount,raceOtherCountSE,disabilityNoProp,disabilityNoPropSE,disabilityNoCount,disabilityNoCountSE,disabilityYesProp,disabilityYesPropSE,disabilityYesCount,disabilityYesCountSE,metroNoProp,metroNoPropSE,metroNoCount,metroNoCountSE,metroYesProp,metroYesPropSE,metroYesCount,metroYesCountSE,metroUnknownProp,metroUnknownPropSE,metroUnknownCount,metroUnknownCountSE,scChldHomeNoProp,scChldHomeNoPropSE,scChldHomeNoCount,scChldHomeNoCountSE,scChldHomeYesProp,scChldHomeYesPropSE,scChldHomeYesCount,scChldHomeYesCountSE,ALProp,ALPropSE,ALCount,ALCountSE,AKProp,AKPropSE,AKCount,AKCountSE,AZProp,AZPropSE,AZCount,AZCountSE,ARProp,ARPropSE,ARCount,ARCountSE,CAProp,CAPropSE,CACount,CACountSE,COProp,COPropSE,COCount,COCountSE,CTProp,CTPropSE,CTCount,CTCountSE,DEProp,DEPropSE,DECount,DECountSE,DCProp,DCPropSE,DCCount,DCCountSE,FLProp,FLPropSE,FLCount,FLCountSE,GAProp,GAPropSE,GACount,GACountSE,HIProp,HIPropSE,HICount,HICountSE,IDProp,IDPropSE,IDCount,IDCountSE,ILProp,ILPropSE,ILCount,ILCountSE,INProp,INPropSE,INCount,INCountSE,IAProp,IAPropSE,IACount,IACountSE,KSProp,KSPropSE,KSCount,KSCountSE,KYProp,KYPropSE,KYCount,KYCountSE,LAProp,LAPropSE,LACount,LACountSE,MEProp,MEPropSE,MECount,MECountSE,MDProp,MDPropSE,MDCount,MDCountSE,MAProp,MAPropSE,MACount,MACountSE,MIProp,MIPropSE,MICount,MICountSE,MNProp,MNPropSE,MNCount,MNCountSE,MSProp,MSPropSE,MSCount,MSCountSE,MOProp,MOPropSE,MOCount,MOCountSE,MTProp,MTPropSE,MTCount,MTCountSE,NEProp,NEPropSE,NECount,NECountSE,NVProp,NVPropSE,NVCount,NVCountSE,NHProp,NHPropSE,NHCount,NHCountSE
11/1/94 0:00,isHouseholder,Household Reference Person in Universe: Non-Institutional,,1,0,99708018,233531,,,,,1,0,5573616,119206,1,0,43123860,269529,1,0,29830455,229180,1,0,21180087,196246,1,0,65545071,281788,1,0,2939228,84396,1,0,30486580,227893,,,,,,,,,,,,,,,,,,,,,1,0,19363957,198634,1,0,32022931,238770,1,0,25134148,220706,1,0,23186983,211735,100%,0,62988898,279361,100%,0,36719120,247997,1,0,77096018,262855,1,0,11820843,169807,1,0,7956251,144704,1,0,2027535,61687,1,0,544756,32223,1,0,262614,21960,,,,,,,,,1,0,22028761,205377,1,0,76906846,276277,1,0,772412,33224,1,0,57413314,274817,1,0,42294704,261268,1,0,1668675,64610,1,0,208595,8703,1,0,1610328,66338,1,0,952203,38109,1,0,11432345,183904,1,0,1435110,54865,1,0,1285592,59907,1,0,274567,12469,1,0,267663,11741,1,0,5657096,114019,1,0,2673673,93007,1,0,408744,21611,1,0,411766,16444,1,0,4430662,94123,1,0,2158646,97176,1,0,1102615,43842,1,0,980574,38385,1,0,1532080,62608,1,0,1571716,65019,1,0,473056,20971,1,0,1992430,87926,1,0,2371069,50359,1,0,3693788,76573,1,0,1809317,72880,1,0,960381,37944,1,0,1979502,86630,1,0,338956,12623,1,0,643136,25782,1,0,583798,25198,1,0,427922,21431
11/1/94 0:00,isPerson,Person in Universe: Ages 3+ Not Active-Duty Military,,1,0,248509799,723058,1,0,47170805,431104,1,0,36254422,360528,1,0,83005904,441994,1,0,50934354,362091,1,0,31144313,285840,1,0,125490400,504535,1,0,7179758,143172,1,0,68668835,393838,,,,,,,,,,,,,,,,,,,,,1,0,46369423,395315,1,0,65052491,394637,1,0,50470784,357177,1,0,39446296,326841,100%,0,120802232,483934,100%,0,127707566,450756,1,0,184215059,701920,1,0,30738364,486256,1,0,25209523,470567,1,0,6143270,193764,1,0,1378818,72272,1,0,824764,60676,,,,,,,,,1,0,55674976,392390,1,0,190903150,655830,1,0,1931673,45446,1,0,109877267,576760,1,0,138632531,929922,1,0,4073843,87296,1,0,549019,14384,1,0,3838642,88963,1,0,2349494,54603,1,0,29833154,292045,1,0,3478339,71427,1,0,3121902,81282,1,0,668702,16783,1,0,546349,15437,1,0,13402421,157053,1,0,6763053,164422,1,0,1044237,37069,1,0,1133715,28467,1,0,11226180,146314,1,0,5591779,153418,1,0,2588227,56586,1,0,2345988,53414,1,0,3713636,81949,1,0,3945503,91966,1,0,1248847,32678,1,0,4614652,112726,1,0,5668208,70660,1,0,9044709,109105,1,0,4314360,98722,1,0,2613567,66232,1,0,5008637,127530,1,0,824168,17370,1,0,1494363,33579,1,0,1405781,36197,1,0,1129251,30839
11/1/94 0:00,computerAtHome,"Anyone in Household Uses a Desktop, Laptop, or Tablet at Home",isHouseholder,0.242794,0.002097,24208471,216845,,,,,0.183342,0.008468,1021876,52096,0.302369,0.003458,13039306,168561,0.285785,0.00398,8525086,135782,0.076591,0.002773,1622202,60829,0.309758,0.002805,20303084,202794,0.176269,0.010999,518094,35491,0.099482,0.002586,3032861,82060,,,,,,,,,,,,,,,,,,,,,0.044451,0.002287,860744,45155,0.148596,0.003055,4758484,103992,0.292064,0.004465,7340772,130080,0.48512,0.005042,11248471,155796,29%,0.002793,18210230,193271,16%,0.002978,5998241,116973,0.273009,0.002457,21047891,203977,0.105474,0.004667,1246792,58195,0.123801,0.006194,984991,52533,0.367316,0.014873,744745,37992,0.198535,0.025449,108153,15821,0.28901,0.038514,75898,12108,,,,,,,,,0.176263,0.003857,3882848,91751,0.261395,0.002465,20103039,203430,0.288167,0.01892,222583,16873,0.207259,0.002622,11899418,161592,0.291031,0.003403,12309052,162152,0.148835,0.013716,248357,24727,0.391523,0.020376,81670,5391,0.277509,0.018504,446880,34955,0.1619,0.014462,154162,14935,0.30791,0.007658,3520137,103840,0.339573,0.01815,487325,31855,0.283824,0.02083,364882,31334,0.251303,0.019576,68999,6171,0.209145,0.017779,55980,5330,0.225184,0.008523,1273889,54277,0.190634,0.013493,509693,39784,0.327034,0.024115,133673,11627,0.328091,0.018576,135097,9176,0.234696,0.009163,1039861,46145,0.213797,0.018344,461513,44436,0.26009,0.01752,286779,22408,0.274942,0.017588,269601,20225,0.164976,0.015128,252756,25289,0.154953,0.014847,243543,25284,0.236433,0.018729,111846,10080,0.318748,0.020759,635084,50243,0.262093,0.009494,621440,26016,0.246434,0.009066,910276,38261,0.282727,0.018235,511542,38885,0.136647,0.013645,131233,14092,0.274635,0.019854,543641,46408,0.231913,0.015781,78609,6087,0.235561,0.017086,151498,12544,0.249735,0.018604,145795,12465,0.383943,0.024499,164298,13385
11/1/94 0:00,isAdult,Person Ages 15+,isPerson,0.810185,0.001394,201338994,512792,0,0,0,0,1,0,36254422,360528,1,0,83005904,441994,1,0,50934354,362091,1,0,31144313,285840,1,0,125490400,504535,1,0,7179758,143172,1,0,68668835,393838,,,,,,,,,,,,,,,,,,,,,1,0,46369423,395315,1,0,65052491,394637,1,0,50470784,357177,1,0,39446296,326841,80%,0.001911,96671555,378073,82%,0.001722,104667439,324456,0.828251,0.001523,152576312,533914,0.758421,0.004486,23312612,358435,0.745801,0.005217,18801276,344764,0.821759,0.007365,5048288,156448,0.748919,0.015005,1032624,52967,0.688539,0.024991,567882,46018,,,,,,,,,0.801949,0.003001,44648510,281973,0.812648,0.001586,155137135,472456,0.804147,0.010901,1553349,32894,0.957102,0.001014,105163788,543390,0.693742,0.001886,96175206,642578,0.812031,0.010667,3308088,63541,0.774873,0.011912,425421,10463,0.817266,0.012157,3137190,61558,0.816886,0.011438,1919269,37159,0.80258,0.004606,23943488,202980,0.817588,0.010661,2843847,50414,0.822347,0.012903,2567288,57512,0.833594,0.012277,557426,12570,0.833678,0.013089,455479,11462,0.824353,0.006009,11048329,110200,0.798922,0.010348,5403155,121977,0.842032,0.011133,879280,28777,0.757656,0.012481,858966,17806,0.80749,0.006198,9065029,100983,0.798964,0.011687,4467633,112763,0.839153,0.011574,2171919,40802,0.821489,0.011721,1927203,38105,0.804333,0.011119,2987001,57082,0.819561,0.011339,3233578,64142,0.776808,0.013492,970115,22591,0.848785,0.010925,3916847,89541,0.836849,0.006076,4743436,52604,0.813155,0.006187,7354749,77116,0.797048,0.011884,3438753,65730,0.773587,0.012079,2021821,42752,0.810944,0.012112,4061725,87003,0.799366,0.010777,658812,11999,0.817194,0.011633,1221185,23606,0.811246,0.012572,1140434,23879,0.783697,0.014998,884990,19919
10/1/97 0:00,isHouseholder,Household Reference Person in Universe: Non-Institutional,,1,0,102741556,223547,,,,,1,0,5670471,128018,1,0,43481519,277700,1,0,32280721,249425,1,0,21308845,207527,1,0,68293121,289581,1,0,2487795,82811,1,0,31406186,243389,,,,,,,,,,,,,,,,,,,,,1,0,17993443,202437,1,0,32641506,250864,1,0,26714250,237055,1,0,25392356,229509,100%,0,61030173,287605,100%,0,41711383,270954,1,0,77892231,266287,1,0,12342022,185830,1,0,8831166,155294,1,0,2920784,85459,1,0,755352,41390,,,,,,,,,,,,,1,0,20037325,205485,1,0,82470950,277667,1,0,233280,23674,1,0,73874812,283626,1,0,28866743,241787,1,0,1630694,64337,1,0,216691,9541,1,0,1765753,66770,1,0,1027277,39192,1,0,11668071,189505,1,0,1539084,57757,1,0,1262679,57368,1,0,278685,12976,1,0,247071,10693,1,0,5956883,121105,1,0,2944626,103316,1,0,410970,19997,1,0,437028,16723,1,0,4440529,101580,1,0,2259805,88278,1,0,1147354,44580,1,0,1008257,40325,1,0,1567028,62137,1,0,1596413,63813,1,0,496746,21543,1,0,1960730,85117,1,0,2425888,70440,1,0,3685301,90903,1,0,1800365,68857,1,0,1032276,42948,1,0,2167561,90251,1,0,357948,13634,1,0,641138,25391,1,0,656621,26435,1,0,466157,21459
10/1/97 0:00,isPerson,Person in Universe: Ages 3+ Not Active-Duty Military,,1,0,255688666,729457,1,0,47960746,451162,1,0,36925579,379425,1,0,83307432,456221,1,0,55379211,391883,1,0,32115699,308242,1,0,131223454,517307,1,0,6216600,142124,1,0,70287866,414018,,,,,,,,,,,,,,,,,,,,,1,0,45498078,401484,1,0,66160685,416486,1,0,52443686,378081,1,0,43625471,355669,100%,0,124589570,496001,100%,0,131099096,466445,1,0,184295047,714273,1,0,31786358,519450,1,0,28233368,493380,1,0,9225313,281116,1,0,2148580,112520,,,,,,,,,,,,,1,0,49531801,360347,1,0,205602786,683493,1,0,554079,38408,1,0,139844631,597346,1,0,115844035,990991,1,0,4173177,90500,1,0,575943,14322,1,0,4459177,96664,1,0,2356740,50475,1,0,30876689,306021,1,0,3790222,79104,1,0,3106854,79762,1,0,710302,18834,1,0,492315,14384,1,0,13836974,163158,1,0,7198558,132181,1,0,1106079,29966,1,0,1185423,28335,1,0,11237775,146657,1,0,5666981,117206,1,0,2694457,57647,1,0,2463028,53886,1,0,3754725,77921,1,0,4127461,98831,1,0,1199227,27553,1,0,4591025,104034,1,0,5920355,97721,1,0,9183915,131591,1,0,4357149,91743,1,0,2563708,60606,1,0,5095040,118117,1,0,858799,17814,1,0,1601636,35053,1,0,1626033,41472,1,0,1138643,30867
12/1/98 0:00,workInternetUser,Uses the Internet at Work,isPerson,0.095881,0.001053,24780653,268255,0,0,0,0,0.047996,0.002075,1798778,80078,0.177967,0.002391,14741701,212876,0.138396,0.002465,7969110,151836,0.008399,0.000824,271065,26701,0.1856,0.00194,24780653,268255,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.008087,0.000693,372491,32028,0.054561,0.001549,3578606,104056,0.124225,0.002456,6597272,137957,0.313444,0.003808,14232285,207891,11%,0.001482,13490849,186650,9%,0.00128,11289804,168956,0.110663,0.001289,20470472,244648,0.06123,0.002642,1966908,88570,0.038864,0.002191,1144634,65352,0.109568,0.006158,1061533,64071,0.062069,0.008479,137105,19401,,,,,,,,,,,,,0.063974,0.001909,3173660,95613,0.103575,0.001227,21570762,251208,0.06234,0.016206,36231,9539,0.119474,0.001594,16970261,232739,0.067093,0.001278,7810392,159739,0.084021,0.00786,349039,32555,0.133062,0.010098,75473,5557,0.09684,0.007559,436936,33342,0.077714,0.007234,187765,17790,0.097007,0.003512,3043617,106415,0.132593,0.008859,510768,33589,0.1019,0.00967,319945,29800,0.097155,0.009074,70955,6484,0.20612,0.015611,102762,7492,0.078802,0.003967,1111718,55721,0.094149,0.00723,697995,52745,0.07564,0.009014,84340,9843,0.105424,0.007755,131142,9493,0.104473,0.004999,1187547,55198,0.086385,0.008103,482196,45238,0.084985,0.008024,233550,22277,0.094322,0.008157,238525,20387,0.077399,0.007267,299719,27909,0.065018,0.007087,268391,29038,0.07466,0.007724,89501,9371,0.181046,0.01277,848997,60523,0.09727,0.006014,577696,35136,0.089357,0.004976,844212,46737,0.131094,0.008869,597058,39778,0.046966,0.006859,123605,18023,0.097781,0.008832,489916,44137,0.106589,0.008554,91610,7415,0.098173,0.008844,156251,13834,0.058192,0.006425,101010,10985,0.108245,0.009285,127252,11004
10/1/97 0:00,computerAtHome,"Anyone in Household Uses a Desktop, Laptop, or Tablet at Home",isHouseholder,0.367715,0.002437,37779586,263165,,,,,0.281163,0.010288,1594328,68129,0.452611,0.003902,19680204,209126,0.424898,0.004433,13716027,177588,0.130886,0.003667,2789026,83008,0.455028,0.003105,31075266,247836,0.253987,0.014518,631867,41553,0.182103,0.003485,5719158,118253,,,,,,,,,,,,,,,,,,,,,0.091216,0.003511,1641295,65883,0.258034,0.003892,8422625,141980,0.435437,0.004948,11632362,167738,0.633392,0.004874,16083303,191393,42%,0.003239,25795933,231187,29%,0.003599,11983653,169410,0.409609,0.00281,31905389,246159,0.196197,0.006329,2421467,86785,0.195091,0.007202,1722884,70459,0.514926,0.014789,1503987,62427,0.299012,0.025951,225859,23899,,,,,,,,,,,,,0.28889,0.005043,5788591,116134,0.386906,0.002763,31908539,251813,0.353461,0.048172,82455,13833,0.311557,0.002769,23016202,223549,0.511432,0.004771,14763384,182899,0.294788,0.018198,480709,35395,0.560672,0.021984,121493,7145,0.400275,0.018587,706787,41914,0.235733,0.016112,242163,18796,0.433186,0.008364,5054448,127741,0.52223,0.018898,803756,41522,0.36583,0.021714,461926,33750,0.372524,0.022609,103817,7934,0.349583,0.020721,86372,6324,0.329706,0.009742,1964022,69930,0.351725,0.016816,1035699,60967,0.354699,0.023397,145770,11961,0.445763,0.019159,194811,11222,0.356326,0.011025,1582275,59567,0.340031,0.018594,768404,51491,0.337558,0.018537,387299,26126,0.420964,0.019717,424440,25490,0.306408,0.018283,480150,34155,0.259843,0.017484,414816,32227,0.36476,0.020938,181193,12978,0.439198,0.021649,861148,56408,0.39429,0.014334,956504,44290,0.351238,0.011883,1294419,53547,0.394009,0.018815,709359,43364,0.213402,0.017182,220290,19987,0.383284,0.020435,830791,56590,0.361607,0.018319,129437,8119,0.372333,0.019268,238717,15549,0.339674,0.019059,223037,15254,0.502807,0.023129,234387,15259
10/1/97 0:00,isAdult,Person Ages 15+,isPerson,0.812425,0.001428,207727920,511768,0,0,0,0,1,0,36925579,379425,1,0,83307432,456221,1,0,55379211,391883,1,0,32115699,308242,1,0,131223454,517307,1,0,6216600,142124,1,0,70287866,414018,,,,,,,,,,,,,,,,,,,,,1,0,45498078,401484,1,0,66160685,416486,1,0,52443686,378081,1,0,43625471,355669,80%,0.001956,100067657,387824,82%,0.00178,107660263,335719,0.833448,0.001584,153600340,544032,0.759085,0.004552,24128559,387559,0.745193,0.004822,21039311,360774,0.795726,0.008095,7340819,218697,0.753471,0.016242,1618892,81203,,,,,,,,,,,,,0.810829,0.003209,40161830,260353,0.812732,0.001596,167099875,487150,0.841423,0.039874,466215,20948,0.959746,0.000928,134215325,560606,0.634582,0.002071,73512595,662182,0.816477,0.010274,3407304,67090,0.774004,0.012025,445782,9438,0.808707,0.00993,3606169,66165,0.834998,0.01069,1967872,35561,0.794461,0.004855,24530333,208908,0.805117,0.011008,3051571,51838,0.830501,0.013605,2580244,59131,0.817901,0.012996,580957,13652,0.864507,0.013155,425610,10529,0.834443,0.005862,11546163,114916,0.807028,0.009507,5809438,91228,0.801834,0.01337,886892,22174,0.784999,0.011334,930556,18362,0.814259,0.00656,9150457,107609,0.807749,0.010752,4577498,79712,0.827888,0.011286,2230709,38895,0.800125,0.011701,1970731,36287,0.819159,0.010769,3075716,54395,0.805963,0.010503,3326582,72104,0.835755,0.012174,1002260,21381,0.863296,0.010501,3963411,77706,0.820204,0.008598,4855899,69574,0.813033,0.007385,7466828,91461,0.82815,0.011541,3608374,64226,0.821637,0.011273,2106438,43750,0.816745,0.011607,4161349,82651,0.816286,0.010551,701026,12353,0.801134,0.011602,1283125,24386,0.804773,0.01234,1308588,27229,0.810254,0.013311,922590,20091
12/1/98 0:00,isHouseholder,Household Reference Person in Universe: Non-Institutional,,1,0,104174641,231608,,,,,1,0,5854231,131613,1,0,43267763,283037,1,0,33454680,253461,1,0,21597967,212487,1,0,69116853,295641,1,0,2336082,79846,1,0,32206410,250072,,,,,,,,,,,,,,,,,,,,,1,0,18080409,205826,1,0,32580534,254768,1,0,26989220,240077,1,0,26524478,236425,100%,0,60138023,293452,100%,0,44036618,278855,1,0,78791846,272885,1,0,12447727,187806,1,0,8964828,158842,1,0,3181099,91879,1,0,789142,42036,,,,,,,,,,,,,1,0,20263377,209021,1,0,83651922,284621,1,0,259342,24917,1,0,75199428,290030,1,0,28975213,245399,1,0,1688438,66738,1,0,222611,9780,1,0,1764439,65217,1,0,1030387,39938,1,0,11814611,193347,1,0,1572832,58073,1,0,1254539,56440,1,0,292247,13049,1,0,235068,10324,1,0,6047390,121236,1,0,2951817,104465,1,0,417473,20419,1,0,445591,17556,1,0,4508956,104327,1,0,2337591,91746,1,0,1161753,45110,1,0,1057912,42660,1,0,1600328,61807,1,0,1607131,64690,1,0,519433,21926,1,0,2108180,92247,1,0,2406815,69403,1,0,3794831,94510,1,0,1865172,70198,1,0,1087393,46446,1,0,2202645,92880,1,0,353818,13397,1,0,658708,26135,1,0,667406,26903,1,0,453179,19858
